nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,telepon,kondisi_lingkungan,latitude,longitude
SDN Cakung Barat 03 Pg.,Jl. Raya Bekasi Km. 23,Cakung Barat,Cakung,269,10,(021) 4618243,Banjir,0,0
SDN Jatinegara 08 Pg.,Jl. Buaran I,Jatinegara,Cakung,607,23,(021) 46833370,Banjir,0,0
SDN Jatinegara 09 Pg.,Jl. Buaran I Rt. 006/08,Jatinegara,Cakung,334,14,(021) 4612737,Banjir,0,0
SDN Jatinegara 10 Pg.,Jl. Raya Bekasi Km. 17,Jatinegara,Cakung,390,17,(021) 46820804,Banjir,0,0
SDN Jatinegara 14 Pt.,Kp. Buaran I,Jatinegara,Cakung,237,11,(021) 4618227,Banjir,0,0
SDN Cempaka Putih Barat 15 Pg.,Jl. Cempaka Putih Barat XIX,Cempaka Putih Barat,Cempaka Putih,467,20,(021) 42880352,Banjir,-6.180982,106.864746
SDN Cempaka Putih Barat 17 Pg.,Jl. Cempaka Putih Barat XIV No. F 15,Cempaka Putih Barat,Cempaka Putih,513,22,(021) 4261148,Banjir,-6.1796,106.866402
SDN Cengkareng Barat 07 Pg.,Jl. Rawa Kramat Rt.04/04,Cengkareng Barat,Cengkareng,322,10,(021) 54370891,Banjir,-6.15245,106.724731
SDN Cengkareng Barat 08 Pt.,Jl. Rawa Keramat,Cengkareng Barat,Cengkareng,268,7,(021) 54370891,Banjir,-6.15448,106.727562
SDN Cengkareng Barat 13 Pg.,Jl. Jaya  25,Cengkareng Barat,Cengkareng,393,17,(021) 55959379,Banjir,-6.129237,106.722992
SDN Cengkareng Barat 14 Pg.,Jl. Jaya VIII Rt.02/10,Cengkareng Barat,Cengkareng,389,12,(021) 5595087,Banjir,-6.128798,106.723976
SDN Cengkareng Barat 15 Pg.,Jl. Flamboyan Jaya VIII Rt.002/010,Cengkareng Barat,Cengkareng,382,14,(021) 5556150,Banjir,-6.128624,106.723946
SDN Cengkareng Barat 19 Pg.,Jl. Rawa Bengkel Rt.04/07,Cengkareng Barat,Cengkareng,304,11,(021) 5446062,Banjir,-6.141465,106.725822
SDN Cengkareng Timur 14 Pg.,Jl. Bangun Nusa Raya,Cengkareng Timur,Cengkareng,384,15,(021)5451592,Banjir,-6.152535,106.739906
SDN Cengkareng Timur 15 Pg.,Jl . Bangun Nusa Raya,Cengkareng Timur,Cengkareng,371,15,(021) 54380289,Banjir,-6.152535,106.739906
SDN Cengkareng Timur 16 Pt.,Jl . Bangun Nusa Raya,Cengkareng Timur,Cengkareng,247,12,(021) 54397502,Banjir,-6.151542,106.740196
SDN Cengkareng Timur 22 Pt.,Jl. Bangun Nusa Raya Rt 011/ Rw013,Cengkareng Timur,Cengkareng,241,12,(021) 54380285,Banjir,-6.15152,106.735008
SDN Duri Kosambi 06 Pg.,Jl. Pondok Randu Raya,Duri Kosambi,Cengkareng,602,24,(021) 54393525,Banjir,-6.176613,106.723267
SDN Kapuk 05 Pg.,Jl. Kapuk Raya Gg. Mawar,Kapuk,Cengkareng,335,12,(021) 54374617,Banjir,-6.138449,106.762711
SDN Kapuk 06 Pg.,Jl. Tenis Raya,Kapuk,Cengkareng,445,18,(021) 54393738,Banjir,-6.144143,106.747398
SDN Kapuk 09 Pg.,Jl. Ukir 2 Pedongkelan Rt.005/06,Kapuk,Cengkareng,533,18,(021) 54399518,Banjir,-6.14502,106.747345
